Date,Time,Source IP Address,Destination IP address,Source Port,Destination Port
Jan 29,00:00:28,24.64.208.134,216.58.112.55,24128,1026
Jan 29,00:00:28,24.64.208.134,216.58.112.55,24128,1027
Jan 29,00:00:28,24.64.208.134,216.58.112.55,24128,1028
Jan 29,00:01:54,207.68.178.56,216.58.112.55,80,2540
Jan 29,00:02:24,123.112.87.126,216.58.112.55,53185,25
Jan 29,00:02:42,192.168.17.24,192.168.9.51,138,138
Jan 29,00:02:42,192.168.17.24,192.168.10.60,138,138
Jan 29,00:02:42,192.168.17.24,192.168.9.51,138,138
Jan 29,00:02:42,192.168.17.24,192.168.10.60,138,138
Jan 29,00:04:42,72.197.8.56,216.58.112.55,9258,40686
Jan 29,00:04:42,71.228.199.109,216.58.112.55,37091,40686
Jan 29,00:04:42,99.248.20.48,216.58.112.55,48725,40686
Jan 29,00:04:42,75.117.31.43,216.58.112.55,3122,40686
Jan 29,00:04:42,58.160.93.74,216.58.112.55,24824,40686
Jan 29,00:05:20,85.54.146.31,216.58.112.55,55313,25
Jan 29,00:06:00,192.168.17.24,192.168.9.51,138,138
Jan 29,00:06:00,192.168.17.24,192.168.10.60,138,138
Jan 29,00:06:00,192.168.17.24,192.168.9.51,138,138
Jan 29,00:06:00,192.168.17.24,192.168.10.60,138,138
Jan 29,00:07:21,58.147.54.65,216.58.112.55,51009,25
Jan 29,00:07:56,24.64.234.162,216.58.112.55,19422,1026
Jan 29,00:07:56,24.64.234.162,216.58.112.55,19422,1027
Jan 29,00:07:56,24.64.234.162,216.58.112.55,19422,1028
Jan 29,00:07:59,142.162.239.193,216.58.112.55,61866,25
Jan 29,00:08:00,190.40.97.52,216.58.112.55,20354,25
Jan 29,00:09:00,192.168.17.24,192.168.9.51,138,138
Jan 29,00:09:00,192.168.17.24,192.168.10.60,138,138
Jan 29,00:09:00,192.168.17.24,192.168.9.51,138,138
Jan 29,00:09:00,192.168.17.24,192.168.10.60,138,138
Jan 29,00:09:30,207.24.89.66,216.58.112.55,45339,113
Jan 29,00:11:18,192.168.17.11,10.97.14.25,123,123
Jan 29,00:11:54,192.168.17.24,192.168.9.51,138,138
Jan 29,00:11:54,192.168.17.24,192.168.10.60,138,138
Jan 29,00:11:54,192.168.17.24,192.168.9.51,138,138
Jan 29,00:11:54,192.168.17.24,192.168.10.60,138,138
Jan 29,00:14:56,192.168.17.24,192.168.9.51,138,138
Jan 29,00:14:56,192.168.17.24,192.168.10.60,138,138
Jan 29,00:14:56,192.168.17.24,192.168.9.51,138,138
Jan 29,00:14:56,192.168.17.24,192.168.10.60,138,138
Jan 29,00:15:05,69.115.209.62,216.58.112.55,52037,40686
Jan 29,00:15:05,71.228.199.109,216.58.112.55,2528,40686
Jan 29,00:15:05,63.227.65.151,216.58.112.55,63271,40686
Jan 29,00:15:06,76.87.248.152,216.58.112.55,61943,40686
Jan 29,00:15:06,201.26.136.92,216.58.112.55,61704,40686
Jan 29,00:15:25,70.189.221.153,216.58.112.55,4933,40686
Jan 29,00:15:50,59.100.237.219,216.58.112.55,3067,40686
Jan 29,00:16:10,24.64.136.199,216.58.112.55,11340,1026
Jan 29,00:17:14,192.168.17.113,207.68.178.56,2540,80
Jan 29,00:17:16,192.168.17.113,207.68.178.56,2540,80
Jan 29,00:17:20,192.168.17.113,207.68.178.56,2540,80
Jan 29,00:17:29,192.168.17.113,207.68.178.56,2540,80
Jan 29,00:17:46,192.168.17.113,207.68.178.56,2540,80
Jan 29,00:18:14,192.168.17.24,192.168.9.51,138,138
Jan 29,00:18:14,192.168.17.24,192.168.10.60,138,138
Jan 29,00:18:14,192.168.17.24,192.168.9.51,138,138
Jan 29,00:18:14,192.168.17.24,192.168.10.60,138,138
Jan 29,00:18:19,192.168.17.113,207.68.178.56,2540,80
Jan 29,00:19:02,151.9.246.29,216.58.112.55,3500,25
Jan 29,00:21:14,192.168.17.24,192.168.9.51,138,138
Jan 29,00:21:14,192.168.17.24,192.168.10.60,138,138
Jan 29,00:21:14,192.168.17.24,192.168.9.51,138,138
Jan 29,00:21:14,192.168.17.24,192.168.10.60,138,138
Jan 29,00:22:01,216.51.106.52,216.58.112.55,3264,135
Jan 29,00:24:02,66.214.36.72,216.58.112.55,63656,40686
Jan 29,00:24:11,192.168.17.24,192.168.9.51,138,138
Jan 29,00:24:11,192.168.17.24,192.168.10.60,138,138
Jan 29,00:24:11,192.168.17.24,192.168.9.51,138,138
Jan 29,00:24:11,192.168.17.24,192.168.10.60,138,138
Jan 29,00:24:13,207.68.178.56,216.58.112.55,80,2566
Jan 29,00:27:12,192.168.17.24,192.168.9.51,138,138
Jan 29,00:27:12,192.168.17.24,192.168.10.60,138,138
Jan 29,00:27:12,192.168.17.24,192.168.9.51,138,138
Jan 29,00:27:12,192.168.17.24,192.168.10.60,138,138
Jan 29,00:28:06,216.51.106.52,216.58.112.55,1725,135
Jan 29,00:28:26,192.168.17.11,10.97.14.25,123,123
Jan 29,00:28:28,209.131.38.249,216.58.112.55,20898,25
Jan 29,00:30:22,192.168.17.24,192.168.9.51,138,138
Jan 29,00:30:22,192.168.17.24,192.168.10.60,138,138
Jan 29,00:30:22,192.168.17.24,192.168.9.51,138,138
Jan 29,00:30:22,192.168.17.24,192.168.10.60,138,138
Jan 29,00:31:16,122.162.36.15,216.58.112.55,56396,25
Jan 29,00:33:27,192.168.17.24,192.168.9.51,138,138
Jan 29,00:33:27,192.168.17.24,192.168.10.60,138,138
Jan 29,00:33:27,192.168.17.24,192.168.9.51,138,138
Jan 29,00:33:27,192.168.17.24,192.168.10.60,138,138
Jan 29,00:33:29,216.211.188.107,216.58.112.55,4556,2967
Jan 29,00:33:32,216.211.188.107,216.58.112.55,4556,2967
Jan 29,00:34:42,24.174.141.170,216.58.112.55,41573,40686
Jan 29,00:34:42,99.251.241.22,216.58.112.55,15658,40686
Jan 29,00:34:42,75.27.233.174,216.58.112.55,9655,40686
Jan 29,00:34:43,91.139.26.208,216.58.112.55,4174,40686
Jan 29,00:34:43,72.129.201.114,216.58.112.55,36319,40686
Jan 29,00:36:24,192.168.17.24,192.168.9.51,138,138
Jan 29,00:36:24,192.168.17.24,192.168.10.60,138,138
Jan 29,00:36:24,192.168.17.24,192.168.9.51,138,138
Jan 29,00:36:24,192.168.17.24,192.168.10.60,138,138
Jan 29,00:36:52,79.186.174.12,216.58.112.55,6348,40686
Jan 29,00:37:18,71.170.80.136,216.58.112.55,60539,25
Jan 29,00:37:35,106.108.177.47,216.58.112.55,31105,1026
Jan 29,00:39:24,192.168.17.24,192.168.9.51,138,138
Jan 29,00:39:24,192.168.17.24,192.168.10.60,138,138
Jan 29,00:39:24,192.168.17.24,192.168.9.51,138,138
Jan 29,00:39:24,192.168.17.24,192.168.10.60,138,138
Jan 29,00:40:16,66.11.164.174,216.58.112.55,60998,25
Jan 29,00:40:44,24.64.216.116,216.58.112.55,14802,1026
Jan 29,00:40:44,24.64.216.116,216.58.112.55,14802,1027
Jan 29,00:40:44,24.64.216.116,216.58.112.55,14802,1028
Jan 29,00:41:11,196.206.134.152,216.58.112.55,4982,25
Jan 29,00:42:36,192.168.17.24,192.168.9.51,138,138
Jan 29,00:42:36,192.168.17.24,192.168.10.60,138,138
Jan 29,00:42:36,192.168.17.24,192.168.9.51,138,138
Jan 29,00:42:36,192.168.17.24,192.168.10.60,138,138
Jan 29,00:43:48,121.14.136.101,216.58.112.55,6000,135
Jan 29,00:45:04,71.228.199.109,216.58.112.55,2720,40686
Jan 29,00:45:05,69.139.205.220,216.58.112.55,1264,40686
