0,1,2,3
Jan 29,13:05:04, anonymous, 220.195.35.40
Jan 29,13:05:10, passwd, 220.195.35.40
Jan 29,13:05:14, chuck, 220.195.35.40
Jan 29,13:05:18, darkman, 220.195.35.40
Jan 29,13:05:22, hostmaster, 220.195.35.40
Jan 29,13:05:26, jeffrey, 220.195.35.40
Jan 29,13:05:31, loverd, 220.195.35.40
Jan 29,13:05:35, eric, 220.195.35.40
Jan 29,13:05:39, lauren, 220.195.35.40
Jan 29,13:05:43, mark, 220.195.35.40
Jan 29,13:05:48, sin, 220.195.35.40
Jan 29,13:05:52, richer, 220.195.35.40
Jan 29,13:05:56, fluffy, 220.195.35.40
Jan 29,13:06:00, gold, 220.195.35.40
Jan 29,13:06:07, cosinus, 220.195.35.40
Jan 29,13:06:11, httpd, 220.195.35.40
Jan 29,13:06:15, squirrelmail, 220.195.35.40
Jan 29,13:06:19, trash, 220.195.35.40
Jan 29,13:06:24, kent, 220.195.35.40
Jan 29,13:06:30, ace, 220.195.35.40
Jan 29,13:06:34, backup, 220.195.35.40
Jan 29,13:06:38, fish, 220.195.35.40
Jan 29,13:06:44, java, 220.195.35.40
Jan 29,13:06:49, master, 220.195.35.40
Jan 29,13:07:01, oracle, 220.195.35.40
Jan 29,13:07:05, seongjin, 220.195.35.40
Jan 29,13:07:09, sun, 220.195.35.40
Jan 29,13:07:13, susan, 220.195.35.40
Jan 29,13:07:17, temp, 220.195.35.40
Jan 29,13:07:21, town, 220.195.35.40
Jan 29,13:07:25, lady, 220.195.35.40
Jan 29,13:07:29, water, 220.195.35.40
Jan 29,13:07:34, webrun, 220.195.35.40
Jan 29,13:07:38, callhome, 220.195.35.40
Jan 29,13:07:42, foobar, 220.195.35.40
Jan 29,13:07:46, ircd, 220.195.35.40
Jan 29,13:07:50, jeni, 220.195.35.40
Jan 29,13:07:54, nick, 220.195.35.40
Jan 29,13:07:58, webster, 220.195.35.40
Jan 29,13:08:02, staff, 220.195.35.40
Jan 29,13:08:07, saito, 220.195.35.40
Jan 29,13:08:10, support, 220.195.35.40
Jan 29,13:08:14, x, 220.195.35.40
Jan 29,13:08:18, bula, 220.195.35.40
Jan 29,13:08:22, felix, 220.195.35.40
Jan 29,13:08:27, lead, 220.195.35.40
Jan 29,13:08:30, romeo, 220.195.35.40
Jan 29,13:08:34, sarolta, 220.195.35.40
Jan 29,13:08:38, zemba, 220.195.35.40
Jan 29,13:08:42, amar, 220.195.35.40
Jan 29,13:08:46, jubar, 220.195.35.40
Jan 29,13:08:50, mckey, 220.195.35.40
Jan 29,13:08:54, notorius, 220.195.35.40
Jan 29,13:09:01, avenues, 220.195.35.40
Jan 29,13:09:05, sanderson, 220.195.35.40
Jan 29,13:09:09, courier, 220.195.35.40
Jan 29,13:09:13, duane, 220.195.35.40
Jan 29,13:09:18, erin, 220.195.35.40
Jan 29,13:09:22, exim, 220.195.35.40
Jan 29,13:09:26, greg, 220.195.35.40
Jan 29,13:09:30, rodney, 220.195.35.40
Jan 29,13:09:34, ryan, 220.195.35.40
Jan 29,13:09:38, testguy, 220.195.35.40
Jan 29,13:09:42, whitecanyon, 220.195.35.40
Jan 29,13:09:46, fabrice, 220.195.35.40
Jan 29,13:09:49, sauv, 220.195.35.40
Jan 29,13:09:53, eddie, 220.195.35.40
Jan 29,13:09:57, folkert, 220.195.35.40
Jan 29,13:10:01, beleaua, 220.195.35.40
Jan 29,13:10:05, public, 220.195.35.40
Jan 29,13:10:11, sebestyen, 220.195.35.40
Jan 29,13:10:15, tordai, 220.195.35.40
Jan 29,13:10:19, filter, 220.195.35.40
Jan 29,13:10:22, lady, 220.195.35.40
Jan 29,13:10:26, andrew, 220.195.35.40
Jan 29,13:10:31, doomi, 220.195.35.40
Jan 29,13:10:35, guma, 220.195.35.40
Jan 29,13:10:39, ina, 220.195.35.40
Jan 29,13:10:43, skid, 220.195.35.40
Jan 29,13:10:48, spik, 220.195.35.40
Jan 29,13:10:53, yarul, 220.195.35.40
Jan 29,13:10:57, zako, 220.195.35.40
Jan 29,13:11:01, adv, 220.195.35.40
Jan 29,13:11:05, alias, 220.195.35.40
Jan 29,13:11:09, annuaire, 220.195.35.40
Jan 29,13:11:13, awstats, 220.195.35.40
Jan 29,13:11:17, cs, 220.195.35.40
Jan 29,13:11:21, emuleon, 220.195.35.40
Jan 29,13:11:25, Melk, 220.195.35.40
Jan 29,13:11:29, palex, 220.195.35.40
Jan 29,13:11:33, quake, 220.195.35.40
Jan 29,13:11:37, save, 220.195.35.40
Jan 29,13:11:41, styx, 220.195.35.40
Jan 29,13:11:44, toto, 220.195.35.40
Jan 29,13:11:48, tuningar, 220.195.35.40
Jan 29,13:11:52, Ionutz, 220.195.35.40
Jan 29,13:11:56, abc, 220.195.35.40
Jan 29,13:12:00, adela, 220.195.35.40
Jan 29,13:12:04, adrian, 220.195.35.40
Jan 29,13:12:08, alexandru, 220.195.35.40
Jan 29,13:12:13, anca, 220.195.35.40
Jan 29,13:12:17, antica, 220.195.35.40
Jan 29,13:12:21, cncp, 220.195.35.40
Jan 29,13:12:25, contabil, 220.195.35.40
Jan 29,13:12:29, contempo, 220.195.35.40
Jan 29,13:12:33, crisan, 220.195.35.40
Jan 29,13:12:37, cristi, 220.195.35.40
Jan 29,13:12:41, cristina, 220.195.35.40
Jan 29,13:12:45, dana, 220.195.35.40
Jan 29,13:12:49, david, 220.195.35.40
Jan 29,13:12:53, dnp, 220.195.35.40
Jan 29,13:12:57, doina, 220.195.35.40
Jan 29,13:13:01, dorina, 220.195.35.40
Jan 29,13:13:05, ernest, 220.195.35.40
Jan 29,13:13:09, florin, 220.195.35.40
Jan 29,13:13:13, fotograf, 220.195.35.40
Jan 29,13:13:17, haitac, 220.195.35.40
Jan 29,13:13:21, ionita, 220.195.35.40
Jan 29,13:13:25, ionut, 220.195.35.40
Jan 29,13:13:29, ionutz, 220.195.35.40
Jan 29,13:13:33, jurca, 220.195.35.40
Jan 29,13:13:37, lucia, 220.195.35.40
Jan 29,13:13:41, maria, 220.195.35.40
Jan 29,13:13:45, medie, 220.195.35.40
Jan 29,13:13:49, moderna, 220.195.35.40
Jan 29,13:13:53, moised, 220.195.35.40
Jan 29,13:13:58, numis, 220.195.35.40
Jan 29,13:14:02, oprea, 220.195.35.40
Jan 29,13:14:06, paul, 220.195.35.40
Jan 29,13:14:10, preist, 220.195.35.40
Jan 29,13:14:14, radu, 220.195.35.40
Jan 29,13:14:18, rodica, 220.195.35.40
Jan 29,13:14:21, samba, 220.195.35.40
Jan 29,13:14:25, sanda, 220.195.35.40
Jan 29,13:14:29, secretar, 220.195.35.40
Jan 29,13:14:33, simina, 220.195.35.40
Jan 29,13:14:37, sorin, 220.195.35.40
Jan 29,13:14:41, sport, 220.195.35.40
Jan 29,13:14:46, personal, 220.195.35.40
Jan 29,13:14:50, taz, 220.195.35.40
Jan 29,13:14:54, teo, 220.195.35.40
Jan 29,13:14:58, tina, 220.195.35.40
Jan 29,13:15:02, webmasters, 220.195.35.40
Jan 29,13:15:06, adi, 220.195.35.40
Jan 29,13:15:10, alex, 220.195.35.40
Jan 29,13:15:14, alina, 220.195.35.40
Jan 29,13:15:18, anca, 220.195.35.40
Jan 29,13:15:22, ancutza, 220.195.35.40
Jan 29,13:15:25, arthur, 220.195.35.40
Jan 29,13:15:29, aurelia, 220.195.35.40
Jan 29,13:15:33, bogdan, 220.195.35.40
Jan 29,13:15:37, bremar, 220.195.35.40
Jan 29,13:15:41, calin, 220.195.35.40
Jan 29,13:15:45, cdvonline, 220.195.35.40
Jan 29,13:15:49, cerasela, 220.195.35.40
Jan 29,13:15:53, chimi, 220.195.35.40
Jan 29,13:15:57, cimpeanu, 220.195.35.40
Jan 29,13:16:00, ciprian, 220.195.35.40
Jan 29,13:16:04, claudia, 220.195.35.40
Jan 29,13:16:08, claudiu, 220.195.35.40
Jan 29,13:16:12, corbus, 220.195.35.40
Jan 29,13:16:16, cris, 220.195.35.40
Jan 29,13:16:20, dan, 220.195.35.40
Jan 29,13:16:24, dana, 220.195.35.40
